emp_id,emp_name,designation,department,email_address,date_of_birth,joined_date
emp828,Thomas,WH labour - outbound,,thomas@logisticsone.com,1988-12-01,1996-01-01
emp282,Joshua,WH labour - inbound,,joshua@logisticsone.com,1988-10-01,1997-02-01
emp2869,Vincent,WH labour - outbound,,vincent@logisticsone.com,1995-09-01,1993-06-01
emp988,Connor,WH labour - outbound,,connor@logisticsone.com,1997-11-01,2009-07-01
emp1198,Logan,WH labour - outbound,,logan@logisticsone.com,1988-11-01,1997-08-01
emp2374,Mason,WH labour - outbound,,mason@logisticsone.com,1992-12-01,1998-01-01
emp2547,Hunter,WH labour - inbound,,hunter@logisticsone.com,1998-05-01,2014-06-01
emp976,Lukas,WH labour - outbound,,lukas@logisticsone.com,1985-09-01,2014-06-01
emp3609,"Cameron

Female Names: Emma",WH labour - inbound,,"cameron

female.names:.emma@logisticsone.com",1985-03-01,2014-11-01
emp885,Olivia,WH labour - outbound,,olivia@logisticsone.com,1990-04-01,2013-12-01
emp1861,Ava,WH labour - outbound,,ava@logisticsone.com,1996-05-01,2013-06-01
emp1012,Sophia,WH labour - outbound,,sophia@logisticsone.com,1998-10-01,2005-08-01
emp3635,Isabella,WH labour - inbound,,isabella@logisticsone.com,2000-02-01,1998-01-01
emp1555,Mia,WH labour - outbound,,mia@logisticsone.com,1985-03-01,1991-09-01
emp1004,Charlotte,WH labour - outbound,,charlotte@logisticsone.com,1998-08-01,2012-10-01
emp3372,Abigail,WH labour - inbound,,abigail@logisticsone.com,1997-03-01,1998-12-01
emp1602,Harper,WH labour - inbound,,harper@logisticsone.com,1987-12-01,2005-04-01
emp1003,Sophia,WH labour - outbound,,sophia@logisticsone.com,1988-12-01,1999-08-01
emp885,Evelyn,WH labour - inbound,,evelyn@logisticsone.com,1986-07-01,2004-06-01
